Date,Price,Open,High,Low,Change %
"Feb 18, 2004",1151.80,1157.00,1157.40,1149.40,-0.45%
"Feb 19, 2004",1147.10,1151.80,1158.60,1146.80,-0.41%
"Feb 20, 2004",1144.10,1147.10,1149.80,1139.00,-0.26%
"Feb 23, 2004",1141.00,1144.10,1146.70,1137.00,-0.27%
"Feb 24, 2004",1139.10,1141.00,1144.50,1134.40,-0.17%
"Feb 25, 2004",1143.70,1139.10,1145.20,1138.70,0.40%
"Feb 26, 2004",1144.90,1143.70,1147.20,1138.60,0.10%
"Feb 27, 2004",1144.90,1145.80,1151.70,1141.80,0.00%
"Mar 01, 2004",1156.00,1144.90,1157.50,1144.90,0.97%
"Mar 02, 2004",1149.10,1156.00,1156.50,1147.30,-0.60%
"Mar 03, 2004",1151.00,1149.10,1152.40,1143.80,0.17%
"Mar 04, 2004",1154.90,1151.00,1155.00,1149.80,0.34%
"Mar 05, 2004",1156.90,1154.90,1163.20,1148.70,0.17%
"Mar 08, 2004",1147.20,1156.90,1159.90,1147.00,-0.84%
"Mar 09, 2004",1140.60,1147.20,1147.30,1136.80,-0.58%
"Mar 10, 2004",1123.90,1140.60,1141.50,1122.50,-1.46%
"Mar 11, 2004",1106.80,1123.90,1126.00,1105.90,-1.52%
"Mar 12, 2004",1120.60,1106.80,1120.60,1106.80,1.25%
"Mar 15, 2004",1104.50,1120.60,1120.60,1103.40,-1.44%
"Mar 16, 2004",1110.70,1104.50,1113.80,1102.60,0.56%
"Mar 17, 2004",1123.80,1110.70,1125.80,1110.70,1.18%
"Mar 18, 2004",1122.30,1123.80,1125.50,1113.20,-0.13%
"Mar 19, 2004",1109.80,1122.30,1122.70,1109.70,-1.11%
"Mar 22, 2004",1095.40,1109.80,1109.80,1089.50,-1.30%
"Mar 23, 2004",1094.00,1095.40,1101.50,1091.60,-0.13%
"Mar 24, 2004",1091.30,1094.00,1098.40,1087.10,-0.25%
"Mar 25, 2004",1109.20,1091.30,1110.40,1091.30,1.64%
"Mar 26, 2004",1108.10,1109.20,1115.30,1106.10,-0.10%
"Mar 29, 2004",1122.50,1108.10,1124.40,1108.10,1.30%
"Mar 30, 2004",1127.00,1122.50,1127.60,1119.70,0.40%
"Mar 31, 2004",1126.20,1127.00,1130.80,1121.50,-0.07%
